bibliographicCitation,bibliographicCitation_standardized
"Górski K, Habit EM and Manosalva AJ (2015). Latitudinal variation of migratory life histories of riverine Galaxias maculatus in Chile (36°- 47°S). Front. Mar. Sci. Conference Abstract: XV European Congress of Ichthyology. doi: 10.3389/conf.fmars.2015.03.00031","Górski, K., Habit, E., and Manosalva, A. 2015. Latitudinal variation of migratory life histories of riverine Galaxias maculatus in Chile (36°- 47°S). Frontiers in Marine Science 2(Conference Abstract: XV European Congress of Ichthyology). doi:doi:%2010.3389/conf.fmars.2015.03.00031."
"Górski, K., González, J.F., Vivancos, A. et al. Young-of-the-year Coho Salmon Oncorhynchus kisutch recruit in fresh waters of remote Patagonian fjords in southern Chile (51°S). Biol Invasions 19, 1127–1136 (2017). https://doi.org/10.1007/s10530-016-1341-9","Górski, K., González, J.F., Vivancos, A., Habit, E.M., and Ruzzante, D.E. 2017. Young-of-the-year Coho Salmon Oncorhynchus kisutch recruit in fresh waters of remote Patagonian fjords in southern Chile (51°S). Biol Invasions 19(4): 1127–1136. doi:10.1007/s10530-016-1341-9."
"Grosman, F y G Rudzik. 1990. Análisis de la dieta del pejerrey patagónico Patagonina hatcheri Eigenmann 1909, Atherinidae, en la laguna Terraplén, Chubut, Argentina. Biota, Chile 6: 71-88","Grosman, F. and Rudzik, G. 1990. Análisis de la dieta del pejerrey patagónico Patagonina hatcheri Eigenmann 1909, Atherinidae, en la laguna Terraplén, Chubut, Argentina. Biota, Chile 6: 71-88"
"Grosman, F. (1992) Algunos aspectos de la biología del salmón del pacífico (Oncorhynchus tshawytscha) presente en la Provincia del Chubut. (Informe técnico). Ed. Hemisferio Sur, JICA - CEAN, 8:1-12.","Grosman, F., del Valle, A., Núñez, P., Nagasawa, A., and -1, M.S.C.N.-. 1992. Algunos aspectos de la biología del salmón del pacífico (Oncorhynchus tshawytscha) presente en la Provincia del Chubut (Informe técnico No. 8). CEAN-JICA, Buenos Aires."
"Grosman, F. 1991. Presencia de salmón rey, Onkorhynchus tschawytscha Walbaum en las cuencas de los ríos Grande y Corcovado, pcia de Chubut. Propuestas de pautas de manejo del recurso. Biol. Acuát. 15 (2): 200-201","Grosman, F. 1991. Presencia de salmón rey, Onkorhynchus tschawytscha Walbaum en las cuencas de los ríos Grande y Corcovado, pcia de Chubut. Propuestas de pautas de manejo del recurso. Biol. Acuát. 15 (2): 200-201"
"Grosman, Manuel Fabián. ""Interacciones Tróficas entre Trucha Arco Iris (Oncorhynchus Mykiss), Pejerrey Patagónico (Patagonina Hatcheri) y Perca (Percichthys Trucha) en un Ambiente Patagónico."" Natura Neotropicalis 1, no. 24/25 (April 16, 2005): 15–25. http://dx.doi.org/10.14409/natura.v1i24/25.3637.","Grosman, F.M. 1994. Interacciones tróficas entre trucha arco iris (Oncorhynchus mykiss), pejerrey patagonico (Patagonina hatcheri) y percas (Percichthys trucha) en un ambiente patagonico. Revista de la Asociacion de Ciencias Naturales del Litoral: (1993/1994)-24/25: 15-25."
"Günther, A. (1881). Account of the Zoological Collections made during the Survey of H.M.S. ‘Alert’ in the Straits of Magellan and on the Coast of Patagonia. Proceedings of the Zoological Society of London, 49(1), 2–141. https://doi.org/10.1111/j.1096-3642.1881.tb01270.x","Günther, A. 1881. Account of the Zoological Collections made during the Survey of H.M.S. ‘Alert’ in the Straits of Magellan and on the Coast of Patagonia. Proceedings of the Zoological Society of London 49(1): 2–141. doi:10.1111/j.1096-3642.1881.tb01270.x."
"Günther, A.C.L.G. 1880. An introduction to the study of fishes. Adam & Charles Black, Edinburgh.","Günther, A.C.L.G. 1880. An introduction to the study of fishes. Adam & Charles Black, Edinburgh."
"Habit, E., Gonzalez, J., Ruzzante, D.E. and Walde, S.J. (2012), Native and introduced fish species richness in Chilean Patagonian lakes: inferences on invasion mechanisms using salmonid-free lakes. Diversity Distrib., 18: 1153-1165. https://doi.org/10.1111/j.1472-4642.2012.00906.x","Habit, E., Gonzalez, J., Ruzzante, D.E., and Walde, S.J. 2012. Native and introduced fish species richness in Chilean Patagonian lakes: inferences on invasion mechanisms using salmonid-free lakes. Diversity Distrib. 18(12): 1153–1165. doi:10.1111/j.1472-4642.2012.00906.x."
https://doi.org/10.1051/kmae/2012009,"Holcroft, N.I., and Wiley, E.O. 2015. Variation in the Posttemporal-Supracleithrum Articulation in Euteleosts. cope 103(4): 751–770. The American Society of Ichthyologists and Herpetologists. doi:10.1643/CG-14-099."
"Hughes, LC, Cardoso, YP, Sommer, JA, et al. Biogeography, habitat transitions and hybridization in a radiation of South American silverside fishes revealed by mitochondrial and genomic RAD data. Mol Ecol. 2020; 29: 738– 751. https://doi.org/10.1111/mec.15350","Hughes, L.C., Cardoso, Y.P., Sommer, J.A., Cifuentes, R., Cuello, M., Somoza, G.M., González-Castro, M., Malabarba, L.R., Cussac, V., Habit, E.M., Betancur-R, R., and Ortí, G. 2020. Biogeography, habitat transitions and hybridization in a radiation of South American silverside fishes revealed by mitochondrial and genomic RAD data. Mol Ecol 29(4): 738–751. doi:10.1111/mec.15350."
"Hüne M., Davis E., Murcia S., Gutiérrez D., & Haro D. (2018). Trophic relationships of a subtidal fish assemblage in the Francisco Coloane Coastal Marine Protected Area, southern Chilean Patagonia. Polar Research, 37. Retrieved from https://polarresearch.net/index.php/polar/article/view/2632","Hüne, M., Davis, E., Murcia, S., Gutiérrez, D., and Haro, D. 2018. Trophic relationships of a subtidal fish assemblage in the Francisco Coloane Coastal Marine Protected Area, southern Chilean Patagonia. Polar Research 37. Available from https://polarresearch.net/index.php/polar/article/view/2632 [accessed 2 October 2025]."
"Hüne, Mathias, & Ojeda, Jaime. (2012). Estructura del ensamble de peces costeros de los canales y fiordos de la zona central de la Patagonia chilena (48º-52ºS). Revista de biología marina y oceanografía, 47(3), 451-460. https://dx.doi.org/10.4067/S0718-19572012000300008","Hüne, M., and Ojeda, J. 2012. Estructura del ensamble de peces costeros de los canales y fiordos de la zona central de la Patagonia chilena (48º-52ºS). Revista de biología marina y oceanografía 47(3): 451–460."
"Ibarra, Jimena, Habit, Evelyn, Barra, Ricardi, & Solís, Katherin. (2011). Chinook salmon juveniles (Oncorhynchus tshawytscha Walbaum, 1792) in rivers and lakes of the Chilean patagonia. Gayana (Concepción), 75(1), 17-25. https://dx.doi.org/10.4067/S0717-65382011000100002","Ibarra, J., Habit, E., Barra, R., and Solís, K. 2011. Juveniles de salmón chinook (Oncorhynchus tshawytscha Walbaum, 1792) en ríos y lagos de la patagonia chilena. Gayana (Concepción) 75(1): 17–25. Universidad de Concepción. Facultad de Ciencias Naturales y Oceanográficas. doi:10.4067/S0717-65382011000100002."
"Icnova Ing (2018) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°838/2018. Proyecto: Caracterización limnológica asociado al proyecto de riego Magallanes, embalse río Porvenir, XII region de Magallanes y la Antártica Chilena. Mandante: Comisión Nacional de Riego.","Icnova Ing (2018) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°838/2018. Proyecto: Caracterización limnológica asociado al proyecto de riego Magallanes, embalse río Porvenir, XII region de Magallanes y la Antártica Chilena. Mandante: Comisión Nacional de Riego."
"Icnova Ing Consultores (2018) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°388/2018. Proyecto: Diagnostico hidrobiológico de laguna Escondida y laguna Barrosa - declaración de impacto ambiental almacenamiento de agua de interior Mina Javiera en laguna Salitrosa, comuna de Chile Chico, XII Región de Aysén. Mandante: Compañía Minera Cerro Bayo Ltda.","Icnova Ing Consultores (2018) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°388/2018. Proyecto: Diagnostico hidrobiológico de laguna Escondida y laguna Barrosa - declaración de impacto ambiental almacenamiento de agua de interior Mina Javiera en laguna Salitrosa, comuna de Chile Chico, XII Región de Aysén. Mandante: Compañía Minera Cerro Bayo Ltda."
IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar. NA, ND"
"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo","INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo. NA, ND"
INGENDESA Minicentral Hidroelectrica Piruquina.,INGENDESA Minicentral Hidroelectrica Piruquina.
"JAIME ILLANES Caracterizacion Biologica Rio Canadon ""Proyecto Portuario Isla Riesco"".","Jaime Illanes. Caracterizacion Biologica Rio Canadon ""Proyecto Portuario Isla Riesco""."
"JAIME ILLANES Linea Base, Limnologia Rio Manso.","Jaime Illanes. Linea Base, Limnologia Rio Manso."
"Jaime Illanes y Asociados Consultores S.A.  (2021) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°E-2021-074. Proyecto: Caracterización ecosistemas acuáticos continentales asociados al proyecto modificación Piscicultura los Tilcos, Río Chico Región de Los Lagos. Mandante: Piscicultura los Tilcos.","Jaime Illanes y Asociados Consultores S.A. (2021) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°E-2021-074. Proyecto: Caracterización ecosistemas acuáticos continentales asociados al proyecto modificación Piscicultura los Tilcos, Río Chico Región de Los Lagos. Mandante: Piscicultura los Tilcos."
"Jenyns, L. (1842). The Zoology of the Voyage of H.M.S. Beagle, Under the Command of Captain Fitzroy, R.N., During the Years 1832 to 1836. Part IV, Fish. Smith, Elder & Co.","Jenyns, L. 1842. The Zoology of the Voyage of H.M.S. Beagle, Under the Command of Captain Fitzroy, R.N., During the Years 1832 to 1836. Part IV, Fish. Smith, Elder & Co., London."
"Juan Cárcamo Barría (2017) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°411-2017. Proyecto: Caracterización de fauna íctica asociada al proyecto, piscicultura San Joaquín, sector El Varal, comuna de Hualaihué, X región de Los Lagos. Mandante: Cultivos Marinos Lago Yelcho S.P.A.","Cárcamo Barría, J. 2017. Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°411-2017. Proyecto: Caracterización de fauna íctica asociada al proyecto, piscicultura San Joaquín, sector El Varal, comuna de Hualaihué, X región de Los Lagos. Mandante: Cultivos Marinos Lago Yelcho S.P.A."
"Las Orcas Spa. (Photosintesis) (2021) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°E-2021-117. Proyecto: Caracterización limnológica y uso de hábitats ribereños en los lagos Meullín, Yulton y Río cuervos, región del General Carlos Ibáñez del Campo. Mandante: Fundación Kreen.","Las Orcas Spa. (Photosintesis) (2021) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°E-2021-117. Proyecto: Caracterización limnológica y uso de hábitats ribereños en los lagos Meullín, Yulton y Río cuervos, región del General Carlos Ibáñez del Campo. Mandante: Fundación Kreen."
"Lattuca M. 2006. ECOLOGÍA E HISTORIA DE VIDA DE Aplochiton zebra (OSMERIFORMES, GALAXIIDAE) EN AGUAS PATAGÓNICAS. Centro Regional Universitario Bariloche. Universidad Nacional del Comahue. Argentina. 182 p.","Lattuca, M.E. 2006. Ecología e historia de vida de aplochiton zebra (osmeriformes, galaxiidae) en aguas patagónicas. Universidad Nacional del Comahue. Centro Regional Universitario Bariloche. Available from https://rdi.uncoma.edu.ar/handle/uncomaid/16124 [accessed 2 October 2025]."
"Lattuca, M. E., Boy, C. C., Vanella, F. A., Barrantes, M. E., & Fernández, D. A. (2018). Thermal responses of three native fishes from estuarine areas of the Beagle Channel, and their implications for climate change. Hydrobiologia, 808(1), 235-249.","Lattuca, M.E., Boy, C.C., Vanella, F.A., Barrantes, M.E., and Fernández, D.A. 2018. Thermal responses of three native fishes from estuarine areas of the Beagle Channel, and their implications for climate change. Hydrobiologia 808(1): 235–249. doi:10.1007/s10750-017-3424-8."
"Lattuca, M.E., Battini, M.A. and Macchi, P.J. (2008), Trophic interactions among native and introduced fishes in a northern Patagonian oligotrophic lake. Journal of Fish Biology, 72: 1306-1320. https://doi.org/10.1111/j.1095-8649.2008.01796.x","Lattuca, M.E., Battini, M.A., and Macchi, P.J. 2008. Trophic interactions among native and introduced fishes in a northern Patagonian oligotrophic lake. Journal of Fish Biology 72(6): 1306–1320. doi:10.1111/j.1095-8649.2008.01796.x."
"Laura Catalan (2014) Construccion Ruta 7, Tramo Pillan - Rio Reñihue - Empalme Ruta 7 (Caleta Gonzalo)","Catalan, L. 2014. Construccion Ruta 7, Tramo Pillan - Rio Reñihue - Empalme Ruta 7 (Caleta Gonzalo). NA, ND"
"Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350","Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350"
Líneas bases XI CEA Ltda. Agosto 2015,Líneas bases XI CEA Ltda. Agosto 2015
"Maldonado-Márquez A, Contador T, Rendoll-Cárcamo J, Moore S, Pérez-Troncoso C, Gomez-Uchida D, Harrod C. Southernmost distribution limit for endangered Peladillas (Aplochiton taeniatus) and non-native coho salmon (Oncorhynchus kisutch) coexisting within the Cape Horn biosphere reserve, Chile. J Fish Biol. 2020 Jun;96(6):1495-1500. doi: 10.1111/jfb.14309. Epub 2020 Mar 30. PMID: 32187706.","Maldonado‐Márquez, A., Contador, T., Rendoll‐Cárcamo, J., Moore, S., Pérez‐Troncoso, C., Gomez‐Uchida, D., and Harrod, C. 2020. Southernmost distribution limit for endangered Peladillas (Aplochiton taeniatus) and non-native coho salmon (Oncorhynchus kisutch) coexisting within the Cape Horn biosphere reserve, Chile. Journal of Fish Biology 96(6): 1495–1500. doi:https://doi.org/10.1111/jfb.14309."
"Mardones, A., González, M., Rivas-Mancilla, C., Vega, R., Augsburger, A., Encina, F., & De Los Ríos, P.R. (2019). Determination of acute toxicity of ammonium in juvenile Patagonian blenny (Eleginops maclovinus). Brazilian journal of biology = Revista brasleira de biologia, 79 4, 646-650 . DOI: 10.1590/1519-6984.186991","Mardones, A., González, M., Rivas-Mancilla, C., Vega, R., Augsburger, A., Encina, F., and De Los Ríos, P. 2019. Determination of acute toxicity of ammonium in juvenile Patagonian blenny (Eleginops maclovinus). Braz J Biol 79(4): 646–650. doi:10.1590/1519-6984.186991."
"Marín-Nahuelpi R, Yáñez JM, Musleh SS, Cañas-Rojas D and others (2022) Genetic structure and origin of non-native, free-living Atlantic salmon Salmo salar along a latitudinal gradient in Chile, South America. Aquacult Environ Interact 14:329-342. https://doi.org/10.3354/aei00444","Marín-Nahuelpi, R., Yáñez, J., Musleh, S., Cañas-Rojas, D., Quintanilla, J., Contreras-Lynch, S., Gajardo, G., Sepúlveda, M., Harrod, C., and Gomez-Uchida, D. 2022. Genetic structure and origin of non-native, free-living Atlantic salmon Salmo salar along a latitudinal gradient in Chile, South America. Aquacult. Environ. Interact. 14: 329–342. doi:10.3354/aei00444."
"Maring Eirl (2012) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°262/2012. Proyecto: Evaluación limnológica-íctica, estero El Arco, Coyhaique, Región de Aysén. Mandante: Garo S.A.","Maring Eirl (2012) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°262/2012. Proyecto: Evaluación limnológica-íctica, estero El Arco, Coyhaique, Región de Aysén. Mandante: Garo S.A."
"Martinez Ambiental Ltda (2019) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°1628/2019. Proyecto: Plan de vigilancia ambiental, asociado al proyecto Mina Invierno, comuna de Río Verde, región de Magallanes y Antártica Chilena. Mandante: Minera Invierno Sa.","Martinez Ambiental Ltda (2019) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°1628/2019. Proyecto: Plan de vigilancia ambiental, asociado al proyecto Mina Invierno, comuna de Río Verde, región de Magallanes y Antártica Chilena. Mandante: Minera Invierno Sa."
"McDowall, R., & Nakaya, K. (1987). Identity of the galaxioid fishes of the genus Aplochiton jenyns from southern Chile. Japanese Journal of Ichthyology, 34, 377-383. McDowall, R., & Nakaya, K. (1987). Identity of the galaxioid fishes of the genus Aplochiton jenyns from southern Chile. Japanese Journal of Ichthyology, 34, 377-383. McDowall, R., & Nakaya, K. (1987). Identity of the galaxioid fishes of the genus Aplochiton jenyns from southern Chile. Japanese Journal of Ichthyology, 34, 377-383. DOI:10.11369/JJI1950.34.377","McDowall, R.M., and Nakaya, K. 1987. Identity of the galaxioid fishes of the genus Aplochiton Jenys from southern Chile. Japan Journal of Ichthyology 34: 377–383."
"McDowall, R.M. 1971. Fishes of the family Aplochitonidae. Journal of The Royal Society of New Zealand: 1(1):31-52.","McDowall, R.M. 1971. Fishes of the family Aplochitonidae. Journal of The Royal Society of New Zealand: 1(1):31-52."
"McDowall, R.M. 1971. The Galaxiid fishes of South America. Zoological Journal of the Limnological Society 50: 33–73.","McDowall, R.M. 1971. The Galaxiid fishes of South America. Zoological Journal of the Limnological Society 50: 33–73."
"McDowall, R.M., and Nakaya, K. 1988. Morphological divergence in the two species of Aplochiton Jenyns (Salmoniformes: Aplochitonidae): a generalist and a specialist. Copeia 1(1): 233–236.","McDowall, R.M., and Nakaya, K. 1988. Morphological divergence in the two species of Aplochiton Jenyns (Salmoniformes: Aplochitonidae): a generalist and a specialist. Copeia 1(1): 233–236."
MEDIO AMBIENTE MARING Proyecto Hidroelectrico Ensenada-Rio Blanco Parte Nª 2.,MEDIO AMBIENTE MARING Proyecto Hidroelectrico Ensenada-Rio Blanco Parte Nª 2.
"Milano D. 2003. Biología de Galaxias platei (Pisces, Galaxiidae): especializaciones relativas a su distribución. Centro Regional Universitario Bariloche. Universidad Nacional del Comahue. Argentina. 135 p.","Milano, D. 2003. Biología de Galaxias platei (Pisces, Galaxiidae): especializaciones relativas a su distribución. Universidad Nacional del Comahue, Bariloche, Argentina."
"Milano, D y PH Vigliano. 1997. Nuevos registros de Galaxias platei Steindachner, 1898 en lagos andino-patagónicos (Teleostei, Osmeriformes, Galaxiidae). Neotrópica 43 (109-110): 109-111","Milano, D., and Vigliano, P.H. 1997. Nuevos registros de Galaxias platei Steindachner, 1898 en lagos andino-patagonicos (Teleostoi: Osmeriformes: Galaxiidae). Neotropica 43: 109–111."
"Milano, D, VE Cussac, PJ Macchi, DE Ruzzante, MF Alonso, PH Vigliano y MA Denegri. 2002. Predator associated morphology in Galaxias platei in Patagonian lakes. J. Fish Biol., UK, 61 (1): 138-156.","Milano, D., Cussac, V.E., Macchi, P.J., Ruzzante, D.E., Alonso, M.F., Vigliano, P.H., and Denegri, M.A. 2002. Predator associated morphology in Galaxias platei in Patagonian lakes. Journal of Fish Biology 61: 138–156. doi:10.1006/jfbi.2002.2027."
"Milano, D., & Vigliano, P. H. (1997). Nuevos registros de Galaxias platei Steindachner, 1898 en lagos andino-patagónicos (Teleostei: Osmeriformes: Galaxiidae). Neotropica, 43, 101-111. ISSN: 0548-1686","Milano, D., and Vigliano, P.H. 1997. Nuevos registros de Galaxias platei Steindachner, 1898 en lagos andino-patagonicos (Teleostoi: Osmeriformes: Galaxiidae). Neotropica 43: 109–111."
"Milano, D., Ruzzante, D. E., Cussac, V. E., Macchi, P. J., Ferriz, R. A., Barriga, J. P., Aigo, J. C., Lattuca, M. E., & Walde, S. J. (2006). Latitudinal and ecological correlates of morphological variation in Galaxias platei (Pisces, Galaxiidae) in Patagonia. Biological Journal of the Linnean Society, 87, 69–82.","Milano, D., Ruzzante, D.E., Cussac, V.E., Macchi, P.J., Ferriz, R.A., Barriga, J.P., Aigo, J.C., Lattuca, M.E., and Walde, S.J. 2006. Latitudinal and ecological correlates of morphological variation in Galaxias platei (Pisces, Galaxiidae) in Patagonia. Biological Journal of the Linnean Society 87: 69–82."
"Milano, D., Ruzzante, D.E., Cussac, V.E., Macchi, P.J., Ferriz, R.A., Barriga, J.P., Aigo, J.D., Lattuca, M.E., & Walde, S.J. (2006). Latitudinal and ecological correlates of morphological variation in Galaxias platei (Pisces, Galaxiidae) in Patagonia. Biological Journal of The Linnean Society, 87, 69-82. DOI:10.1111/J.1095-8312.2006.00556.X","Milano, D., Ruzzante, D.E., Cussac, V.E., Macchi, P.J., Ferriz, R.A., Barriga, J.P., Aigo, J.C., Lattuca, M.E., and Walde, S.J. 2006. Latitudinal and ecological correlates of morphological variation in Galaxias platei (Pisces, Galaxiidae) in Patagonia. Biological Journal of the Linnean Society 87: 69–82."
"Ministerior de Medio Ambiente (MMA). 2019. Ficha de Clasificación de especies según su estado de conservación: Mordacia lapicida, P03R4 RCE CORREGIDO. https://clasificacionespecies.mma.gob.cl/wp-content/uploads/2019/10/Mordacia_lapicida_P03R4_RCE_CORREGIDO.pdf","Ministerior de Medio Ambiente (MMA). 2019. Ficha de Clasificación de especies según su estado de conservación: Mordacia lapicida, P03R4 RCE CORREGIDO. https://clasificacionespecies.mma.gob.cl/wp-content/uploads/2019/10/Mordacia_lapicida_P03R4_RCE_CORREGIDO.pdf"
"Misuo Sakai and Ambrosio C. Espinós (1992) On the trout resouces in lake Buenos Aires, southern Argentina. Informe técnico N°4, Agencia de Cooperación Internacional del Japón (JICA). Editorial Hemisferio Sur S.A., Buenos Aires, Argentina. 26pp.","Sakai, M., and Espinós, A.C. 1992. On the trout resouces in lake Buenos Aires, southern Argentina Informe técnico N°4, Agencia de Cooperación Internacional del Japón (JICA). Editorial Hemisferio Sur S.A."
"Montory, M., Habit, E., Fernandez, P., Grimalt, J. O., Kolok, A. S., Barra, R. O., & Ferrer, J. (2020). Biotransport of persistent organic pollutants in the southern Hemisphere by invasive Chinook salmon (Oncorhynchus tshawytscha) in the rivers of northern Chilean Patagonia, a UNESCO biosphere reserve. Environment International, 142, 105803. https://doi.org/10.1016/j.envint.2020.105803","Montory, M., Habit, E., Fernandez, P., Grimalt, J.O., Kolok, A.S., Barra, R.O., and Ferrer, J. 2020. Biotransport of persistent organic pollutants in the southern Hemisphere by invasive Chinook salmon (Oncorhynchus tshawytscha) in the rivers of northern Chilean Patagonia, a UNESCO biosphere reserve. Environment International 142: 105803. doi:10.1016/j.envint.2020.105803."
"Monzón-Argüello, C., Consuegra, S., Gajardo, G., Marco-Rius, F., Fowler, D.M., DeFaveri, J. and Garcia de Leaniz, C. (2014), Contrasting patterns of genetic and phenotypic differentiation in two invasive salmonids in the southern hemisphere. Evol Appl, 7: 921-936. https://doi.org/10.1111/eva.12188 | Monzón-Argüello, C., Garcia de Leaniz, C., Gajardo, G. et al. Eco-immunology of fish invasions: the role of MHC variation. Immunogenetics 66, 393–402 (2014). https://doi.org/10.1007/s00251-014-0771-8","Monzón-Argüello, C., Consuegra, S., Gajardo, G., Marco-Rius, F., Fowler, D.M., DeFaveri, J., and Garcia de Leaniz, C. 2014. Contrasting patterns of genetic and phenotypic differentiation in two invasive salmonids in the southern hemisphere. Evol Appl 7(8): 921–936. doi:10.1111/eva.12188."
"Moorman, M.C. 2007. The Conservation Implications of Introduced Trout and Beaver onNative Fish in the Cape Horn Biosphere Reserve, ChileT. North Carolina State University.","Moorman, M.C. 2007. The Conservation Implications of Introduced Trout and Beaver onNative Fish in the Cape Horn Biosphere Reserve, ChileT. North Carolina State University."
"Moorman, MC (2007) The conservation implications of introduced trout and beaver on native fish in the Cape Horn Biosphere Reserve, Chile. Masters thesis, North Carolina University 57 pp.","Moorman, M.C. 2007. The Conservation Implications of Introduced Trout and Beaver onNative Fish in the Cape Horn Biosphere Reserve, ChileT. North Carolina State University."
"Nardi, C.F., Fernández, D.A., Vanella, F.A. et al. The expansion of exotic Chinook salmon (Oncorhynchus tshawytscha) in the extreme south of Patagonia: an environmental DNA approach. Biol Invasions 21, 1415–1425 (2019). https://doi.org/10.1007/s10530-018-1908-8","Nardi, C.F., Fernández, D.A., Vanella, F.A., and Chalde, T. 2019. The expansion of exotic Chinook salmon (Oncorhynchus tshawytscha) in the extreme south of Patagonia: an environmental DNA approach. Biol Invasions 21(4): 1415–1425. doi:10.1007/s10530-018-1908-8."
"Narum Shawn R., Gallardo Pablo, Correa Cristian, Matala Amanda, Hasselman Daniel, Sutherland Ben J. G., and Bernatchez Louis. 2017. Genomic patterns of diversity and divergence of two introduced salmonid species in Patagonia, South America. Evolutionary Applications 10(4): 402–416. doi: 10.1111/eva.12464.","Narum Shawn R., Gallardo Pablo, Correa Cristian, Matala Amanda, Hasselman Daniel, Sutherland Ben J. G., and Bernatchez Louis. 2017. Genomic patterns of diversity and divergence of two introduced salmonid species in Patagonia, South America. Evolutionary Applications 10(4): 402–416. doi:10.1111/eva.12464."
"National Museum of Natural History, Smithsonian Institution. NMNH Fishes. Record ID: http://n2t.net/ark:/65665/326a8244b-596f-40d5-bfbb-adbaf8559277. Source: http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a (source published on 2016-07-21)","National Museum of Natural History, Smithsonian Institution. NMNH Fishes. Record ID: http://n2t.net/ark:/65665/326a8244b-596f-40d5-bfbb-adbaf8559277. Source: http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a (source published on 2016-07-21)"
NCSM [catalogNumber] - North Carolina Museum of Natural Sciences Ichthyology Collection,NCSM [catalogNumber] - North Carolina Museum of Natural Sciences Ichthyology Collection
ND Ampliacion Central Hidroelectrica El Toqui Ch El Toqui.,ND Ampliacion Central Hidroelectrica El Toqui Ch El Toqui.
"ND Central Hidroelectrica De Pasada Rio Blanco, Hornopiren.","ND Central Hidroelectrica De Pasada Rio Blanco, Hornopiren."
ND Minicentral Hidroelectrica Piruquina.,ND Minicentral Hidroelectrica Piruquina.
ND Pa Desarrollo Hidroelectrico Rio Puelo.,ND Pa Desarrollo Hidroelectrico Rio Puelo.
ND Proyecto Sistema De Transmision Energia Austral.,ND Proyecto Sistema De Transmision Energia Austral.
"Norman, J.R. 1937. Coast Fishes. Part II. The Patagonian Region. Discovery Reports Vol. XVI, pp. 1-150.","Norman, J.R. 1937. Coast fishes Part II. The Patagonia region. Discov Rep 16: 1–150."
North Carolina Museum of Natural Sciences. NCSM Fishes Collection. Record ID: B9779608-F120-48AF-BC02-6FDA19053356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_fishes (source published on 2017-10-27),North Carolina Museum of Natural Sciences. NCSM Fishes Collection. Record ID: B9779608-F120-48AF-BC02-6FDA19053356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_fishes (source published on 2017-10-27)
